id,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Y
1,0.487,0.072,0.004,0.833,0.765,0.600,0.132,0.886,0.073,0.342,17.949
2,0.223,0.401,0.659,0.528,0.843,0.713,0.580,0.473,0.572,0.528,13.815
3,0.903,0.913,0.940,0.979,0.561,0.744,0.627,0.818,0.309,0.510,20.766
4,0.791,0.857,0.359,0.844,0.155,0.948,0.114,0.292,0.412,0.991,18.301
5,0.326,0.593,0.085,0.927,0.926,0.633,0.431,0.326,0.031,0.730,22.989
6,0.562,0.890,0.006,0.691,0.720,0.208,0.279,0.283,0.116,0.882,25.986
7,0.481,0.613,0.499,0.572,0.914,0.783,0.204,0.428,0.828,0.487,17.150
8,0.625,0.197,0.725,0.628,0.541,0.481,0.460,0.021,0.765,0.392,14.006
9,0.210,0.519,0.029,0.610,0.724,0.515,0.371,0.731,0.575,0.730,18.566
10,0.084,0.496,0.486,0.813,0.406,0.491,0.418,0.344,0.978,0.409,12.107
11,0.735,0.767,0.497,0.551,0.537,0.491,0.935,0.497,0.386,0.392,19.762
12,0.572,0.053,0.666,0.165,0.738,0.652,0.435,0.640,0.067,0.896,7.534
13,0.383,0.399,0.258,0.830,0.982,0.607,0.804,0.529,0.157,0.698,19.477
14,0.660,0.425,0.817,0.027,0.546,0.575,0.185,0.909,0.424,0.795,11.646
15,0.526,0.101,0.831,0.509,0.300,0.384,0.880,0.366,0.179,0.585,10.424
16,0.838,0.816,0.224,0.960,0.726,0.223,0.774,0.311,0.802,0.737,22.323
17,0.233,0.620,0.012,0.094,0.898,0.909,0.199,0.773,0.463,0.035,14.775
18,0.919,0.657,0.310,0.745,0.385,0.452,0.348,0.731,0.130,0.388,19.264
19,0.217,0.199,0.807,0.611,0.141,0.298,0.996,0.175,0.814,0.474,10.354
20,0.744,0.291,0.866,0.051,0.960,0.384,0.179,0.705,0.806,0.637,14.812
21,0.145,0.445,0.829,0.709,0.075,0.253,0.838,0.914,0.408,0.245,11.516
22,0.245,0.971,0.194,0.968,0.279,0.081,0.817,0.051,0.670,0.682,19.466
23,0.777,0.674,0.583,0.782,0.554,0.017,0.052,0.139,0.893,0.813,22.207
24,0.524,0.909,0.361,0.709,0.441,0.571,0.958,0.176,0.375,0.182,19.492
25,0.794,0.934,0.232,0.229,0.404,0.217,0.692,0.591,0.308,0.053,11.860
26,0.260,0.220,0.604,0.783,0.488,0.293,0.930,0.076,0.521,0.350,11.654
27,0.059,0.134,0.387,0.225,0.139,0.547,0.792,0.853,0.138,0.383,4.131
28,0.516,0.794,0.875,0.692,0.743,0.413,0.095,0.872,0.546,0.128,20.981
29,0.910,0.464,0.481,0.533,0.672,0.566,0.378,0.848,0.627,0.151,18.287
30,0.131,0.572,0.143,0.101,0.277,0.652,0.835,0.628,0.562,0.795,6.626
31,0.023,0.427,0.645,0.336,0.927,0.236,0.288,0.632,0.841,0.101,9.259
32,0.707,0.194,0.488,0.418,0.494,0.015,0.365,0.424,0.557,0.945,10.616
33,0.170,0.309,0.856,0.648,0.501,0.640,0.023,0.377,0.925,0.441,12.762
34,0.802,0.545,0.958,0.053,0.924,0.470,0.598,0.508,0.972,0.454,18.872
35,0.987,0.659,0.225,0.603,0.451,0.078,0.230,0.290,0.712,0.844,20.133
36,0.660,0.937,0.589,0.424,0.052,0.615,0.410,0.433,0.860,0.505,11.910
37,0.841,0.768,0.004,0.292,0.924,0.765,0.866,0.186,0.111,0.818,21.432
38,0.918,0.412,0.427,0.792,0.215,0.773,0.717,0.887,0.196,0.052,18.064
39,0.701,0.202,0.842,0.865,0.242,0.167,0.608,0.843,0.954,0.756,15.437
40,0.311,0.236,0.705,0.304,0.812,0.784,0.238,0.225,0.884,0.109,9.352
41,0.713,0.164,0.242,0.471,0.761,0.474,0.317,0.733,0.291,0.951,13.378
42,0.902,0.954,0.568,0.978,0.411,0.271,0.776,0.617,0.385,0.389,17.188
43,0.681,0.605,0.370,0.236,0.422,0.533,0.351,0.363,0.863,0.781,14.899
44,0.412,0.627,0.400,0.117,0.005,0.201,0.254,0.954,0.156,0.998,7.442
45,0.863,0.105,0.272,0.880,0.723,0.677,0.433,0.733,0.992,0.303,14.649
46,0.548,0.360,0.144,0.382,0.607,0.492,0.601,0.314,0.477,0.719,15.434
47,0.190,0.952,0.425,0.742,0.475,0.767,0.718,0.606,0.084,0.985,15.313
